"","Acestrorhynchus pantaneiro","Aquatic insects","Astyanax sp","Auchenipterus nuchalis","Birds","Caymans","Chaetobranchopsis australis","Curimatella sp","Gymnogeophagus balzanii","Hemiodus orthonops","Hemisorubim platyrhynchos","Hoplias malabaricus","Hypostomus plecostomus","Leporinus sp","Loricaria sp","Loricariichthys sp","Mammals","Moenkhausia sp","Pimelodella sp","Pimelodus sp","Plagioscion ternetzi","Potamorhina squamoralevis","Psectrogaster curviventris","Pseudoplatystoma corruscans","Pseudoplatystoma reticulatus","Roeboides sp","Schizodon borellii","Serrasalmus sp","Steindachnerina sp","Sturisoma robustum","Terrestrial insects","Tetragonopterus argenteus","Trachydoras paraguayensis","Triportheus sp","Zooplankton"
"Acestrorhynchus pantaneiro",0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aquatic insects",0,0,0.45,0.932,0,0,0.02,0,0.012,0.01,0,0,0,0.03,0,0,0,0.026,0.655,0.093,0,0,0,0.026,0.026,0.362,0.1,0.057,0,0,0,0.795,0.049,0.02,0
"Astyanax sp",0.039,0,0,0,0.004,0,0,0,0,0,0.057,0.019,0,0,0,0,0,0,0.007,0,0.025,0,0,0.014,0.003,0,0,0.07,0,0,0,0,0,0,0
"Auchenipterus nuchalis",0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
"Chaetobranchopsis australis",0.032,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.014,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
"Curimatella sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0.021,0,0.071,0,0,0,0,0,0,0
"Detritos",0,0.4,0.36,0.024,0,0,0.4,0.975,0.389,0.01,0,0.122,0.98,0.874,0.95,0.919,0,0.24,0.106,0.5,0,0.97,0.97,0.206,0.228,0.186,0,0.071,0.908,0.96,0,0.035,0.271,0.346,0.6
"Gymnogeophagus balzanii",0.033,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.073,0.021,0.008,0,0,0,0,0,0,0,0,0
"Hemiodus orthonops",0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemisorubim platyrhynchos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0
"Hoplias malabaricus",0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0
"Hypostomus plecostomus",0,0,0,0,0,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Import",0.03,0.4,0.026,0,0,0,0.04,0,0.085,0,0,0.037,0.02,0.03,0.05,0.081,0,0.003,0.023,0.047,0.04,0.03,0.03,0,0.01,0.057,0.4,0,0,0.04,0.6,0.028,0.029,0.05,0
