,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Bivalves,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.39
Catfish,0.031,-0.992,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.004,0.003,0.056,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.013,0.0,0.003,0.001,0.0,0.545,0.081
Crayfish,0.0,0.0,-1.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.147
Croakers,0.136,0.105,0.0,-1.0,0.056,0.0,0.011,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.007,0.0,0.0,0.337,0.0,0.0,0.153,0.001,0.0,0.011,0.0,0.0,0.0
Detritus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fat Sleepers,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.109,0.0,0.0,0.0,0.404,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.171
Flatfish,0.027,0.0,0.0,0.0,0.0,0.001,-1.0,0.0,0.037,0.0,0.0,0.48,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.151,0.038
Gastropods,0.104,0.0,0.0,0.0,0.0,0.0,0.0,-0.994,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.004
Gobies,0.065,0.0,0.0,0.0,0.0,0.001,0.0,0.009,-1.0,0.0,0.0,0.47,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.031,0.328
Halfbeaks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,-1.0,0.009,0.125,0.0,0.0,0.016,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548,0.296
